QuestionType;Question;QuestionID;Answer_Participant_p7_condition_A;Answer_Participant_p8_condition_A;Answer_Participant_p8_condition_A
linearSlider;How slippery does this surface look?;s1;5;1;0
dropdown;What material does this surface look like?;d1;0;0;0
linearSlider;How slippery does this surface look?;s1;1;6;6
dropdown;What material does this surface look like?;d1;0;0;0
linearSlider;How slippery does this surface look?;s1;6;5;4
dropdown;What material does this surface look like?;d1;0;0;0
linearSlider;How slippery does this surface look?;s1;5;7;7
dropdown;What material does this surface look like?;d1;0;0;0
linearSlider;How slippery does this surface look?;s1;8;6;6
dropdown;What material does this surface look like?;d1;0;0;0
linearSlider;How slippery does this surface look?;s1;7;3;2
dropdown;What material does this surface look like?;d1;0;0;0
linearSlider;How slippery does this surface look?;s1;4;8;8
dropdown;What material does this surface look like?;d1;0;0;0
linearSlider;How slippery does this surface look?;s1;0;5;5
dropdown;What material does this surface look like?;d1;0;0;0

