QuestionType;Question;QuestionID;Answer_Participant_p1_condition_A;Answer_Participant_p2_condition_A;Answer_Participant_p3_condition_A
linearGrid;Please compare how slippery the surface looks to how slippery the surface feels!;s1;5;1;7
radio;Which one is more slippery;q1;1;1;1
linearSlider;Please rate how similar the slipperiness between the surface's look and feel;s1;2;0;6
linearSlider;Please rate how realistic the entire experience is;s1;2;0;7
linearGrid;Please compare how slippery the surface looks to how slippery the surface feels!;s1;8;5;1
radio;Which one is more slippery;q1;1;1;1
linearSlider;Please rate how similar the slipperiness between the surface's look and feel;s1;2;2;2
linearSlider;Please rate how realistic the entire experience is;s1;2;2;3
linearGrid;Please compare how slippery the surface looks to how slippery the surface feels!;s1;10;4;1
radio;Which one is more slippery;q1;2;1;1
linearSlider;Please rate how similar the slipperiness between the surface's look and feel;s1;7;2;0
linearSlider;Please rate how realistic the entire experience is;s1;7;2;0
linearGrid;Please compare how slippery the surface looks to how slippery the surface feels!;s1;11;5;1
radio;Which one is more slippery;q1;2;1;1
linearSlider;Please rate how similar the slipperiness between the surface's look and feel;s1;8;2;0
linearSlider;Please rate how realistic the entire experience is;s1;8;1;0
linearGrid;Please compare how slippery the surface looks to how slippery the surface feels!;s1;8;11;1
radio;Which one is more slippery;q1;1;2;1
linearSlider;Please rate how similar the slipperiness between the surface's look and feel;s1;2;8;2
linearSlider;Please rate how realistic the entire experience is;s1;2;8;2
linearGrid;Please compare how slippery the surface looks to how slippery the surface feels!;s1;7;1;1
radio;Which one is more slippery;q1;1;1;1
linearSlider;Please rate how similar the slipperiness between the surface's look and feel;s1;3;0;1
linearSlider;Please rate how realistic the entire experience is;s1;3;0;2
linearGrid;Please compare how slippery the surface looks to how slippery the surface feels!;s1;5;6;2
radio;Which one is more slippery;q1;1;1;1
linearSlider;Please rate how similar the slipperiness between the surface's look and feel;s1;2;0;5
linearSlider;Please rate how realistic the entire experience is;s1;2;1;5
linearGrid;Please compare how slippery the surface looks to how slippery the surface feels!;s1;2;6;2
radio;Which one is more slippery;q1;1;1;1
linearSlider;Please rate how similar the slipperiness between the surface's look and feel;s1;1;2;3
linearSlider;Please rate how realistic the entire experience is;s1;1;2;6

