QuestionType;Question;QuestionID;Answer
linearSlider;How slippery does this surface look?;s1;6
dropdown;What material does this surface look like?;d1;0
linearSlider;How slippery does this surface look?;s1;4
dropdown;What material does this surface look like?;d1;0
linearSlider;How slippery does this surface look?;s1;8
dropdown;What material does this surface look like?;d1;0
linearSlider;How slippery does this surface look?;s1;1
dropdown;What material does this surface look like?;d1;0
linearSlider;How slippery does this surface look?;s1;5
dropdown;What material does this surface look like?;d1;0
linearSlider;How slippery does this surface look?;s1;6
dropdown;What material does this surface look like?;d1;0
linearSlider;How slippery does this surface look?;s1;2
dropdown;What material does this surface look like?;d1;0
linearSlider;How slippery does this surface look?;s1;7
dropdown;What material does this surface look like?;d1;0

