QuestionType;Question;QuestionID;Answer_Participant_p7_condition_A;Answer_Participant_p8_condition_A;Answer_Participant_p8_condition_A
linearGrid;Please compare how slippery the surface looks to how slippery the surface feels!;s1;18;20;18
radio;Which one is more slippery;q1;3;3;3
linearSlider;Please rate how similar the slipperiness between the surface's look and feel;s1;7;1;2
linearSlider;Please rate how realistic the entire experience is;s1;6;2;2
linearGrid;Please compare how slippery the surface looks to how slippery the surface feels!;s1;20;19;11
radio;Which one is more slippery;q1;3;3;2
linearSlider;Please rate how similar the slipperiness between the surface's look and feel;s1;0;8;8
linearSlider;Please rate how realistic the entire experience is;s1;0;8;8
linearGrid;Please compare how slippery the surface looks to how slippery the surface feels!;s1;11;14;12
radio;Which one is more slippery;q1;2;3;2
linearSlider;Please rate how similar the slipperiness between the surface's look and feel;s1;8;6;6
linearSlider;Please rate how realistic the entire experience is;s1;8;5;7
linearGrid;Please compare how slippery the surface looks to how slippery the surface feels!;s1;11;11;13
radio;Which one is more slippery;q1;2;2;3
linearSlider;Please rate how similar the slipperiness between the surface's look and feel;s1;8;7;6
linearSlider;Please rate how realistic the entire experience is;s1;7;7;6
linearGrid;Please compare how slippery the surface looks to how slippery the surface feels!;s1;8;11;11
radio;Which one is more slippery;q1;2;2;2
linearSlider;Please rate how similar the slipperiness between the surface's look and feel;s1;6;7;8
linearSlider;Please rate how realistic the entire experience is;s1;6;7;8
linearGrid;Please compare how slippery the surface looks to how slippery the surface feels!;s1;11;15;18
radio;Which one is more slippery;q1;2;3;3
linearSlider;Please rate how similar the slipperiness between the surface's look and feel;s1;8;2;2
linearSlider;Please rate how realistic the entire experience is;s1;8;3;2
linearGrid;Please compare how slippery the surface looks to how slippery the surface feels!;s1;14;11;11
radio;Which one is more slippery;q1;3;2;2
linearSlider;Please rate how similar the slipperiness between the surface's look and feel;s1;6;8;8
linearSlider;Please rate how realistic the entire experience is;s1;6;8;8
linearGrid;Please compare how slippery the surface looks to how slippery the surface feels!;s1;20;13;14
radio;Which one is more slippery;q1;3;3;3
linearSlider;Please rate how similar the slipperiness between the surface's look and feel;s1;0;5;5
linearSlider;Please rate how realistic the entire experience is;s1;0;5;6

