QuestionType;Question;QuestionID;Answer_Participant_p5_condition_A;Answer_Participant_p5_condition_A
linearGrid;Please compare how slippery the surface looks to how slippery the surface feels!;s1;6;
radio;Which one is more slippery;q1;1;
linearSlider;Please rate how similar the slipperiness between the surface's look and feel;s1;2;4
linearSlider;Please rate how realistic the entire experience is;s1;2;4
linearGrid;Please compare how slippery the surface looks to how slippery the surface feels!;s1;10;
radio;Which one is more slippery;q1;2;
linearSlider;Please rate how similar the slipperiness between the surface's look and feel;s1;8;4
linearSlider;Please rate how realistic the entire experience is;s1;8;4
linearGrid;Please compare how slippery the surface looks to how slippery the surface feels!;s1;13;12
radio;Which one is more slippery;q1;2;3
linearSlider;Please rate how similar the slipperiness between the surface's look and feel;s1;6;5
linearSlider;Please rate how realistic the entire experience is;s1;7;6
linearGrid;Please compare how slippery the surface looks to how slippery the surface feels!;s1;14;13
radio;Which one is more slippery;q1;3;3
linearSlider;Please rate how similar the slipperiness between the surface's look and feel;s1;2;6
linearSlider;Please rate how realistic the entire experience is;s1;4;6
linearGrid;Please compare how slippery the surface looks to how slippery the surface feels!;s1;18;17
radio;Which one is more slippery;q1;3;3
linearSlider;Please rate how similar the slipperiness between the surface's look and feel;s1;0;1
linearSlider;Please rate how realistic the entire experience is;s1;1;2
linearGrid;Please compare how slippery the surface looks to how slippery the surface feels!;s1;20;20
radio;Which one is more slippery;q1;3;3
linearSlider;Please rate how similar the slipperiness between the surface's look and feel;s1;0;0
linearSlider;Please rate how realistic the entire experience is;s1;0;0
linearGrid;Please compare how slippery the surface looks to how slippery the surface feels!;s1;9;7
radio;Which one is more slippery;q1;2;1
linearSlider;Please rate how similar the slipperiness between the surface's look and feel;s1;7;2
linearSlider;Please rate how realistic the entire experience is;s1;6;2
linearGrid;Please compare how slippery the surface looks to how slippery the surface feels!;s1;13;13
radio;Which one is more slippery;q1;3;2
linearSlider;Please rate how similar the slipperiness between the surface's look and feel;s1;2;6
linearSlider;Please rate how realistic the entire experience is;s1;7;6

