QuestionType;Question;QuestionID;Answer_Participant_p1_condition_A;Answer_Participant_p1_condition_A
linearSlider;How slippery does this surface look?;s1;6;4
dropdown;What material does this surface look like?;d1;0;0
linearSlider;How slippery does this surface look?;s1;6;4
dropdown;What material does this surface look like?;d1;0;0
linearSlider;How slippery does this surface look?;s1;5;4
dropdown;What material does this surface look like?;d1;0;0
linearSlider;How slippery does this surface look?;s1;2;4
dropdown;What material does this surface look like?;d1;0;0
linearSlider;How slippery does this surface look?;s1;6;4
dropdown;What material does this surface look like?;d1;0;0
linearSlider;How slippery does this surface look?;s1;4;4
dropdown;What material does this surface look like?;d1;0;0
linearSlider;How slippery does this surface look?;s1;2;4
dropdown;What material does this surface look like?;d1;0;0
linearSlider;How slippery does this surface look?;s1;3;4
dropdown;What material does this surface look like?;d1;0;0
linearSlider;How slippery does this surface look?;s1;6;4
dropdown;What material does this surface look like?;d1;0;0
linearSlider;How slippery does this surface look?;s1;7;4
dropdown;What material does this surface look like?;d1;0;0
linearSlider;How slippery does this surface look?;s1;7;4
dropdown;What material does this surface look like?;d1;0;0
linearSlider;How slippery does this surface look?;s1;3;4
dropdown;What material does this surface look like?;d1;0;0
linearSlider;How slippery does this surface look?;s1;5;4
dropdown;What material does this surface look like?;d1;0;0
linearSlider;How slippery does this surface look?;s1;2;4
dropdown;What material does this surface look like?;d1;0;0
linearSlider;How slippery does this surface look?;s1;6;4
dropdown;What material does this surface look like?;d1;0;0
linearSlider;How slippery does this surface look?;s1;2;4
dropdown;What material does this surface look like?;d1;0;0
linearSlider;How slippery does this surface look?;s1;5;4
dropdown;What material does this surface look like?;d1;0;0

