QuestionType;Question;QuestionID;Answer
linearSlider;How slippery does this surface look?;s1;4
dropdown;What material does this surface look like?;d1;0
linearSlider;How slippery does this surface look?;s1;4
dropdown;What material does this surface look like?;d1;0
linearSlider;How slippery does this surface look?;s1;4
dropdown;What material does this surface look like?;d1;0
linearSlider;How slippery does this surface look?;s1;4
dropdown;What material does this surface look like?;d1;0
linearSlider;How slippery does this surface look?;s1;4
dropdown;What material does this surface look like?;d1;0
linearSlider;How slippery does this surface look?;s1;4
dropdown;What material does this surface look like?;d1;0
linearSlider;How slippery does this surface look?;s1;4
dropdown;What material does this surface look like?;d1;0
linearSlider;How slippery does this surface look?;s1;4
dropdown;What material does this surface look like?;d1;0
linearSlider;How slippery does this surface look?;s1;4
dropdown;What material does this surface look like?;d1;0
linearSlider;How slippery does this surface look?;s1;4
dropdown;What material does this surface look like?;d1;0
linearSlider;How slippery does this surface look?;s1;4
dropdown;What material does this surface look like?;d1;0
linearSlider;How slippery does this surface look?;s1;4
dropdown;What material does this surface look like?;d1;0
linearSlider;How slippery does this surface look?;s1;4
dropdown;What material does this surface look like?;d1;0
linearSlider;How slippery does this surface look?;s1;4
dropdown;What material does this surface look like?;d1;0
linearSlider;How slippery does this surface look?;s1;4
dropdown;What material does this surface look like?;d1;0
linearSlider;How slippery does this surface look?;s1;4
dropdown;What material does this surface look like?;d1;0
linearSlider;How slippery does this surface look?;s1;4
dropdown;What material does this surface look like?;d1;0

