QuestionType;Question;QuestionID;Answer_Participant_p7_condition_A;Answer_Participant_p8_condition_A
linearGrid;Please compare how slippery the surface looks to how slippery the surface feels!;s1;10;12
radio;Which one is more slippery;q1;2;3
linearSlider;Please rate how similar the slipperiness between the surface's look and feel;s1;8;3
linearSlider;Please rate how realistic the entire experience is;s1;8;3
linearGrid;Please compare how slippery the surface looks to how slippery the surface feels!;s1;20;11
radio;Which one is more slippery;q1;3;2
linearSlider;Please rate how similar the slipperiness between the surface's look and feel;s1;0;7
linearSlider;Please rate how realistic the entire experience is;s1;0;7
linearGrid;Please compare how slippery the surface looks to how slippery the surface feels!;s1;11;11
radio;Which one is more slippery;q1;2;2
linearSlider;Please rate how similar the slipperiness between the surface's look and feel;s1;8;7
linearSlider;Please rate how realistic the entire experience is;s1;8;7
linearGrid;Please compare how slippery the surface looks to how slippery the surface feels!;s1;11;11
radio;Which one is more slippery;q1;2;2
linearSlider;Please rate how similar the slipperiness between the surface's look and feel;s1;8;7
linearSlider;Please rate how realistic the entire experience is;s1;8;7
linearGrid;Please compare how slippery the surface looks to how slippery the surface feels!;s1;3;11
radio;Which one is more slippery;q1;1;2
linearSlider;Please rate how similar the slipperiness between the surface's look and feel;s1;3;4
linearSlider;Please rate how realistic the entire experience is;s1;6;7
linearGrid;Please compare how slippery the surface looks to how slippery the surface feels!;s1;10;15
radio;Which one is more slippery;q1;2;3
linearSlider;Please rate how similar the slipperiness between the surface's look and feel;s1;8;3
linearSlider;Please rate how realistic the entire experience is;s1;8;3
linearGrid;Please compare how slippery the surface looks to how slippery the surface feels!;s1;11;8
radio;Which one is more slippery;q1;2;1
linearSlider;Please rate how similar the slipperiness between the surface's look and feel;s1;8;3
linearSlider;Please rate how realistic the entire experience is;s1;7;3
linearGrid;Please compare how slippery the surface looks to how slippery the surface feels!;s1;20;11
radio;Which one is more slippery;q1;3;2
linearSlider;Please rate how similar the slipperiness between the surface's look and feel;s1;0;8
linearSlider;Please rate how realistic the entire experience is;s1;0;8

